,t,x,vx,y,vy,theta,alpha
0,1.0,1.0,5.0,1.0,1.0,1.0,0.0
1,1.4999861365041645,1.4999861365041645,4.999789326818932,1.051069863601588,0.021404010406626095,1.0001412198964879,0.0
2,1.9999713897629001,1.9999713897629001,4.999982498271126,1.004280859426486,-0.9571902824491008,1.0003335648659426,0.0
3,2.4999954616027504,2.4999954616027504,5.00055899485399,0.8596293743504474,-1.9358566401130965,1.0005684622402045,0.0
4,3.000094190489539,3.000094190489539,5.00146504613972,0.6171053075900965,-2.914648497319656,1.0008347956039279,0.0
5,3.500297237870903,3.500297237870903,5.002634331955131,0.27669460218621,-3.893591593854432,1.0011221131531722,0.0
6,4.000627745369054,4.000627745369054,5.00400478558502,-0.16161818594158506,-4.872689408552917,1.0014223056098766,0.0
7,4.501103201615642,4.501103201615642,5.005525960535211,-0.6978481308722927,-5.851932552900962,1.0017297729274073,0.0
8,5.001736675353633,5.001736675353633,5.007159698395572,-1.332009048824411,-6.831306231763376,1.0020409031542885,0.0
9,5.502537951283838,5.502537951283838,5.008878053837184,-2.0641131981273433,-7.810794583822986,1.0023534586351002,0.0
10,6.003514423589319,6.003514423589319,5.010660761336064,-2.894171289472087,-8.790382726973263,1.0026660906467928,0.0
11,6.50467175211126,6.50467175211126,5.012493087119892,-3.82219262889163,-9.77005750954803,1.002978007610324,0.0
12,7.006014330833158,7.006014330833158,5.014364221927648,-4.848185300435471,-10.749807635625093,1.0032887622744402,0.0
13,7.50754561983653,7.50754561983653,5.016266138621426,-5.972156346126385,-11.72962352720928,1.003598118856984,0.0
14,8.00926838127172,8.00926838127172,5.018192795706549,-7.1941119268186275,-12.709497099391918,1.0039059708593099,0.0
15,8.511184848579019,8.511184848579019,5.020139583917194,-8.514057459722274,-13.68942152659562,1.004212290250055,0.0
16,9.013296849248752,9.013296849248752,5.022102939836137,-9.931997733498822,-14.66939103058415,1.0045170959431409,0.0
17,9.515605895012682,9.515605895012682,5.024080073670043,-11.447937003673566,-15.649400699309972,1.0048204341670612,0.0
18,10.01811324897021,10.01811324897021,5.0260687752904945,-13.061879071490305,-16.629446336513187,1.005122366207507,0.0
19,10.520819976187054,10.520819976187054,5.028067274354059,-14.773827349123954,-17.60952433858461,1.005422960756809,0.0
20,11.023726982304742,11.023726982304742,5.030074138171635,-16.58378491376175,-18.589631594349616,1.0057222891637134,0.0
21,11.526835043345582,11.526835043345582,5.0320881962283535,-18.49175455263366,-19.56976540361714,1.0060204225212805,0.0
22,12.030144828973915,12.030144828973915,5.034108483740624,-20.497738800683184,-20.549923410889672,1.0063174299253845,0.0
23,12.533656920837608,12.533656920837608,5.036134198972313,-22.601739972240342,-21.530103551249915,1.0066133774804384,0.0
24,13.037371827169883,13.037371827169883,5.038164670610059,-24.803760187789518,-22.510304006011335,1.0069083277815631,0.0
