,t,x,vx,y,vy,theta,alpha
0,0.0,0.0,4.991709083070141,10.0,0.2878201347978364,0.05759586531581287,0.0
1,0.24958480443335782,0.24958480443335782,4.99170008628266,10.002158715984184,-0.2014713488148589,0.057751841383291765,0.0
2,0.49917170389215476,0.49917170389215476,4.991792685067721,9.97985279685952,-0.6907669134085185,0.05790808578381276,0.0
3,0.7487657248171022,0.7487657248171022,4.9919842911302315,9.933081796594312,-1.180076114480041,0.0580631483510877,0.0
4,0.998371699677637,0.998371699677637,4.9922698190469115,9.86184481590155,-1.6694074176521834,0.05821572029498578,0.0
5,1.2479941569245445,1.2479941569245445,4.992642312222804,9.766140570931002,-2.1587676767921,0.058364717606721156,0.0
6,1.4976372458289333,1.4976372458289333,4.9930936838232585,9.645967480810821,-2.6481619046384575,0.05850932172724619,0.0
7,1.7473046978856819,1.7473046978856819,4.993615416201326,9.501323759738089,-3.1375933098804447,0.0586489800260657,0.0
8,1.996999819912291,1.996999819912291,4.994199118186637,9.332207502221358,-3.6270635181351443,0.058783377565252454,0.0
9,2.2467255106089876,2.2467255106089876,4.994836905088514,9.138616754666302,-4.116572882540834,0.058912393940989696,0.0
10,2.4964842918940158,2.4964842918940158,4.995521614497759,8.920549570824903,-4.606120808405597,0.059036056611329026,0.0
11,2.746278347668694,2.746278347668694,4.996246894560374,8.678004051687633,-5.0957060454496625,0.059154497971561366,0.0
12,2.9961095646709497,2.9961095646709497,4.9970072057551445,8.410978372046612,-5.585326926973107,0.059267919619990006,0.0
13,3.2459795720042193,3.2459795720042193,4.997797771215073,8.119470796520789,-6.0749815526170945,0.05937656461351952,0.0
14,3.495889777450847,3.495889777450847,4.998614501287775,7.803479687740754,-6.564667920614979,0.059480697052480214,0.0
15,3.7458413997366287,3.7458413997366287,4.9994539091990555,7.463003508989527,-7.05438401895811,0.05958058773066625,0.0
16,3.995835496575912,3.995835496575912,5.000313027830729,7.09804082310819,-7.5441278851726805,0.05967650448705923,0.0
17,4.245872988700694,4.245872988700694,5.001189332891573,6.708590289017611,-8.03389764317321,0.05976870603903844,0.0
18,4.495954680259969,4.495954680259969,5.002080674761744,6.294650656825978,-8.523691523961421,0.05985743830478857,0.0
19,4.746081276041401,4.746081276041401,5.002985219532133,5.856220762195438,-9.013507875293442,0.05994293245355425,0.0
20,4.996253395967213,4.996253395967213,5.00390139881553,5.393299520420889,-9.50334516404948,0.060025404121897816,0.0
21,5.2464715872823415,5.2464715872823415,5.004827867463039,4.905885920515731,-9.993201973952887,0.06010505339284635,0.0
22,5.496736334804867,5.496736334804867,5.005763468166252,4.393979019488334,-10.483077000472873,0.06018206525498971,0.0
23,5.747048069557415,5.747048069557415,5.006707201930122,3.857577936916881,-10.97296904415623,0.060256610346663485,0.0
24,5.9974071760492995,5.9974071760492995,5.007658203482955,3.296681849878951,-11.462877003216109,0.06032884585344001,0.0
25,6.24781399843523,6.24781399843523,5.00861572080246,2.7112899882585895,-11.952799865915097,0.06039891647158213,0.0
26,6.498268845738359,6.498268845738359,5.009579098055163,2.1014016304320053,-12.442736703080174,0.06046695538098057,0.0
27,6.748771996293085,6.748771996293085,5.010547761358176,1.4670160993198023,-12.932686660951822,0.060533085192279866,0.0
28,6.999323701536094,6.999323701536094,5.01152120687175,0.8081327587859245,-13.422648954479158,0.06059741884726216,0.0
29,7.249924189251663,7.249924189251663,5.012498990816587,0.12475101035951197,-13.912622861113578,0.06066006046116897,0.0
30,7.500573666358875,7.500573666358875,5.013480721082031,-0.5831297097457455,-14.402607715115229,0.06072110610196537,0.0
31,7.751272321313181,7.751272321313181,5.014466050151141,-1.3155099333402367,-14.892602902362816,0.06078064450562166,0.0
32,8.002020326182384,8.002020326182384,5.015454669118016,-2.0723901627196564,-15.38260785564312,0.06083875772902434,0.0
33,8.252817838446877,8.252817838446877,5.0164463026131845,-2.8537708729020594,-15.872622050388843,0.06089552174363147,0.0
34,8.503665002565635,8.503665002565635,5.017440704485853,-3.6596525136622904,-16.362645000829872,0.060951006973801174,0.0
35,8.754561951342623,8.754561951342623,5.018437654118744,-4.490035511383565,-16.852676256522113,0.06100527878408395,0.0
36,9.005508807122569,9.005508807122569,5.019436953273135,-5.344920270744198,-17.342715399218918,0.06105839791984002,0.0
37,9.256505682840457,9.256505682840457,5.020438423379623,-6.224307176255774,-17.832762040051804,0.061110420905433276,0.0
38,9.50755268294522,9.50755268294522,5.021441903204659,-7.12819659366743,-18.32281581698947,0.06116140040403599,0.0
39,9.758649904214932,9.758649904214932,5.022447246834847,-8.056588871249451,-18.812876392546663,0.06121138554280377,0.0
40,10.00979743647811,10.00979743647811,5.023454321930754,-9.009484340968015,-19.302943451717017,0.061260422206879515,0.0
41,10.260995363253619,10.260995363253619,5.024463008209937,-9.986883319561674,-19.793016700106392,0.06130855330537988,0.0
42,10.512243762319732,10.512243762319732,5.025473196125522,-10.988786109529084,-20.28309586224579,0.06135581901222021,0.0
43,10.76354270622141,10.76354270622141,5.026484785712065,-12.015193000036469,-20.77318068006491,0.06140225698435231,0.0
44,11.01489226272355,11.01489226272355,5.027497685574914,-13.066104267752424,-21.263270911509572,0.06144790255972745,0.0
45,11.266292495216868,11.266292495216868,5.028511812003007,-14.141520177616869,-21.753366329288,0.061492788937056356,0.0
46,11.517743463082157,11.517743463082157,5.029527088188146,-15.241440983550257,-22.243466719732552,0.06153694733921955,0.0
47,11.769245222017846,11.769245222017846,5.030543443536325,-16.365866929108506,-22.733571881765066,0.06158040716198382,0.0
48,12.020797824335181,12.020797824335181,5.031560813058878,-17.514798248088567,-23.223681625955162,0.0616231961095033,0.0
49,12.272401319224745,12.272401319224745,5.032579136832993,-18.688235165089026,-23.71379577366212,0.06166534031792505,0.0
50,12.524055752997521,12.524055752997521,5.033598359522655,-19.886177896029714,-24.20391415625192,0.0617068644682771,0.0
51,12.775761169303388,12.775761169303388,5.034618429952358,-21.108626648633898,-24.69403661438196,0.06174779188969095,0.0
52,13.027517609329452,13.027517609329452,5.035639300727006,-22.355581622876247,-25.184162997346842,0.06178814465389817,0.0
53,13.279325111980423,13.279325111980423,5.036660927892322,-23.627043011399508,-25.674293162479202,0.06182794366184081,0.0
54,13.531183714042918,13.531183714042918,5.037683270630877,-24.923010999902466,-26.164426974600346,0.061867208723146834,0.0
55,13.783093450335361,13.783093450335361,5.038706290989493,-26.243485767501593,-26.65456430551592,0.06190595862914291,0.0
56,14.035054353844973,14.035054353844973,5.039729953634336,-27.58846748706851,-27.144705033552366,0.06194421122000688,0.0
57,14.287066455853125,14.287066455853125,5.040754225630511,-28.957956325545233,-27.634849043130412,0.061981983446600095,0.0
58,14.539129786050236,14.539129786050236,5.0417790762433645,-30.351952444238908,-28.124996224372136,0.06201929142746448,0.0
59,14.79124437264122,14.79124437264122,5.042804476759061,-31.770455999097717,-28.615146472738584,0.062056150501419945,0.0
60,15.043410242442413,15.043410242442413,5.043830400322308,-33.21346714096934,-29.105299688695183,0.062092575276154055,0.08726646259971647
61,15.295627420970753,15.295627420970753,5.044856821789356,-34.68098601584335,-29.595455777402503,0.062128579673156784,0.08726646259971647
62,15.547895932525975,15.547895932525975,5.045883717594643,-36.17301276507872,-30.08561464843012,0.06216417696931842,0.08726646259971647
63,15.800215800266445,15.800215800266445,5.046911065629631,-37.689547525617556,-30.57577621549159,0.06219937983547765,0.08726646259971647
64,16.052587046279207,16.052587046279207,5.047938845132562,-39.23059043018609,-31.065940396198727,0.0622342003721791,0.08726646259971647
65,16.305009691644777,16.305009691644777,5.048967036588018,-40.79614160748382,-31.55610711183354,0.06226865014287483,0.08726646259971647
66,16.55748375649713,16.55748375649713,5.049995621635282,-42.386201182361646,-32.04627628713638,0.06230274020478207,0.08726646259971647
67,16.81000926007932,16.81000926007932,5.051024582984621,-44.00076927598982,-32.53644785010892,0.06233648113758964,0.08726646259971647
68,17.062586220795065,17.062586220795065,5.05205390434071,-45.63984600601634,-33.02662173183079,0.062369883070187634,0.08726646259971647
69,17.31521465625672,17.31521465625672,5.0530835703324914,-47.30343148671659,-33.51679786628871,0.06240295570557891,0.08726646259971647
